
          t           a           e           i          Om           u           w        teta 
     140.800    7055.512       0.008       1.722       1.314       5.709       0.554       5.155
     140.900    7055.578       0.008       1.722       1.314       5.709       0.554       5.155
     141.000    7055.644       0.008       1.722       1.314       5.710       0.554       5.156
     141.100    7055.710       0.008       1.722       1.314       5.710       0.554       5.156
     141.200    7055.776       0.008       1.722       1.314       5.710       0.554       5.156
     141.300    7055.842       0.008       1.722       1.314       5.710       0.554       5.156
     141.400    7055.908       0.008       1.722       1.314       5.710       0.554       5.156
     141.500    7055.974       0.008       1.722       1.314       5.710       0.553       5.157
     141.600    7056.041       0.008       1.722       1.314       5.710       0.553       5.157
     141.700    7056.107       0.008       1.722       1.314       5.710       0.553       5.157
     141.800    7056.173       0.008       1.722       1.314       5.710       0.553       5.157
     141.900    7056.240       0.008       1.722       1.314       5.710       0.553       5.158
     142.000    7056.306       0.008       1.722       1.314       5.711       0.553       5.158
     142.100    7056.372       0.008       1.722       1.314       5.711       0.553       5.158
     142.200    7056.439       0.008       1.722       1.314       5.711       0.553       5.158
     142.300    7056.505       0.008       1.722       1.314       5.711       0.552       5.158
     142.400    7056.572       0.008       1.722       1.314       5.711       0.552       5.159
     142.500    7056.638       0.008       1.722       1.314       5.711       0.552       5.159
     142.600    7056.705       0.008       1.722       1.314       5.711       0.552       5.159
     142.700    7056.772       0.008       1.722       1.314       5.711       0.552       5.159
     142.800    7056.838       0.008       1.722       1.314       5.711       0.552       5.160
     142.900    7056.905       0.008       1.722       1.314       5.712       0.552       5.160
     143.000    7056.972       0.008       1.722       1.314       5.712       0.552       5.160
     143.100    7057.039       0.008       1.722       1.314       5.712       0.551       5.160
     143.200    7057.106       0.008       1.723       1.314       5.712       0.551       5.160
     143.300    7057.173       0.009       1.723       1.314       5.712       0.551       5.161
     143.400    7057.239       0.009       1.723       1.314       5.712       0.551       5.161
     143.500    7057.306       0.009       1.723       1.314       5.712       0.551       5.161
     143.600    7057.373       0.009       1.723       1.314       5.712       0.551       5.161
     143.700    7057.441       0.009       1.723       1.314       5.712       0.551       5.162
     143.800    7057.508       0.009       1.723       1.314       5.712       0.551       5.162
     143.900    7057.575       0.009       1.723       1.314       5.713       0.551       5.162
     144.000    7057.642       0.009       1.723       1.314       5.713       0.550       5.162
     144.100    7057.709       0.009       1.723       1.314       5.713       0.550       5.163
     144.200    7057.776       0.009       1.723       1.314       5.713       0.550       5.163
     144.300    7057.844       0.009       1.723       1.314       5.713       0.550       5.163
     144.400    7057.911       0.009       1.723       1.314       5.713       0.550       5.163
     144.500    7057.978       0.009       1.723       1.314       5.713       0.550       5.163
     144.600    7058.046       0.009       1.723       1.314       5.713       0.550       5.164
     144.700    7058.113       0.009       1.723       1.314       5.713       0.550       5.164
     144.800    7058.180       0.009       1.723       1.314       5.714       0.549       5.164
     144.900    7058.248       0.009       1.723       1.314       5.714       0.549       5.164
     145.000    7058.316       0.009       1.723       1.314       5.714       0.549       5.165
     145.100    7058.383       0.009       1.723       1.314       5.714       0.549       5.165
     145.200    7058.451       0.009       1.723       1.314       5.714       0.549       5.165
     145.300    7058.518       0.009       1.723       1.314       5.714       0.549       5.165
     145.400    7058.586       0.009       1.723       1.314       5.714       0.549       5.165
     145.500    7058.654       0.009       1.723       1.314       5.714       0.549       5.166
     145.600    7058.722       0.009       1.723       1.314       5.714       0.548       5.166
     145.700    7058.789       0.009       1.723       1.314       5.714       0.548       5.166
     145.800    7058.857       0.009       1.723       1.314       5.715       0.548       5.166
     145.900    7058.925       0.009       1.723       1.314       5.715       0.548       5.167
     146.000    7058.993       0.009       1.723       1.314       5.715       0.548       5.167
     146.100    7059.061       0.009       1.723       1.313       5.715       0.548       5.167
     146.200    7059.129       0.009       1.723       1.313       5.715       0.548       5.167
     146.300    7059.197       0.009       1.723       1.313       5.715       0.548       5.167
     146.400    7059.265       0.009       1.723       1.313       5.715       0.548       5.168
     146.500    7059.333       0.009       1.723       1.313       5.715       0.547       5.168
     146.600    7059.401       0.009       1.723       1.313       5.715       0.547       5.168
     146.700    7059.469       0.009       1.723       1.313       5.716       0.547       5.168
     146.800    7059.538       0.009       1.724       1.313       5.716       0.547       5.169
     146.900    7059.606       0.009       1.724       1.313       5.716       0.547       5.169
     147.000    7059.674       0.009       1.724       1.313       5.716       0.547       5.169
     147.100    7059.742       0.009       1.724       1.313       5.716       0.547       5.169
     147.200    7059.811       0.009       1.724       1.313       5.716       0.547       5.169
     147.300    7059.879       0.009       1.724       1.313       5.716       0.546       5.170
     147.400    7059.948       0.009       1.724       1.313       5.716       0.546       5.170
     147.500    7060.016       0.009       1.724       1.313       5.716       0.546       5.170
     147.600    7060.085       0.009       1.724       1.313       5.716       0.546       5.170
     147.700    7060.153       0.009       1.724       1.313       5.717       0.546       5.171
     147.800    7060.222       0.009       1.724       1.313       5.717       0.546       5.171
     147.900    7060.290       0.009       1.724       1.313       5.717       0.546       5.171
     148.000    7060.359       0.009       1.724       1.313       5.717       0.546       5.171
     148.100    7060.428       0.009       1.724       1.313       5.717       0.545       5.171
     148.200    7060.496       0.009       1.724       1.313       5.717       0.545       5.172
     148.300    7060.565       0.009       1.724       1.313       5.717       0.545       5.172
     148.400    7060.634       0.009       1.724       1.313       5.717       0.545       5.172
     148.500    7060.703       0.009       1.724       1.313       5.717       0.545       5.172
     148.600    7060.772       0.010       1.724       1.313       5.718       0.545       5.173
     148.700    7060.841       0.010       1.724       1.313       5.718       0.545       5.173
     148.800    7060.910       0.010       1.724       1.313       5.718       0.545       5.173
     148.900    7060.979       0.010       1.724       1.313       5.718       0.545       5.173
     149.000    7061.048       0.010       1.724       1.313       5.718       0.544       5.174
     149.100    7061.117       0.010       1.724       1.313       5.718       0.544       5.174
     149.200    7061.186       0.010       1.724       1.313       5.718       0.544       5.174
     149.300    7061.255       0.010       1.724       1.313       5.718       0.544       5.174
     149.400    7061.324       0.010       1.724       1.313       5.718       0.544       5.174
     149.500    7061.393       0.010       1.724       1.313       5.718       0.544       5.175
     149.600    7061.463       0.010       1.724       1.313       5.719       0.544       5.175
     149.700    7061.532       0.010       1.724       1.313       5.719       0.544       5.175
     149.800    7061.601       0.010       1.724       1.313       5.719       0.543       5.175
     149.900    7061.671       0.010       1.724       1.313       5.719       0.543       5.176
     150.000    7061.740       0.010       1.724       1.313       5.719       0.543       5.176
     150.100    7061.809       0.010       1.724       1.313       5.719       0.543       5.176
     150.200    7061.879       0.010       1.724       1.313       5.719       0.543       5.176
     150.300    7061.948       0.010       1.724       1.313       5.719       0.543       5.176
     150.400    7062.018       0.010       1.725       1.313       5.719       0.543       5.177
     150.500    7062.087       0.010       1.725       1.313       5.719       0.543       5.177
     150.600    7062.157       0.010       1.725       1.313       5.720       0.542       5.177
     150.700    7062.227       0.010       1.725       1.313       5.720       0.542       5.177
     150.800    7062.296       0.010       1.725       1.313       5.720       0.542       5.178
     150.900    7062.366       0.010       1.725       1.313       5.720       0.542       5.178
     151.000    7062.436       0.010       1.725       1.313       5.720       0.542       5.178
     151.100    7062.506       0.010       1.725       1.313       5.720       0.542       5.178
     151.200    7062.576       0.010       1.725       1.313       5.720       0.542       5.178
     151.300    7062.645       0.010       1.725       1.313       5.720       0.542       5.179
     151.400    7062.715       0.010       1.725       1.313       5.720       0.542       5.179
     151.500    7062.785       0.010       1.725       1.313       5.721       0.541       5.179
     151.600    7062.855       0.010       1.725       1.312       5.721       0.541       5.179
     151.700    7062.925       0.010       1.725       1.312       5.721       0.541       5.180
     151.800    7062.995       0.010       1.725       1.312       5.721       0.541       5.180
     151.900    7063.065       0.010       1.725       1.312       5.721       0.541       5.180
     152.000    7063.136       0.010       1.725       1.312       5.721       0.541       5.180
     152.100    7063.206       0.010       1.725       1.312       5.721       0.541       5.180
     152.200    7063.276       0.010       1.725       1.312       5.721       0.541       5.181
     152.300    7063.346       0.010       1.725       1.312       5.721       0.540       5.181
     152.400    7063.416       0.010       1.725       1.312       5.721       0.540       5.181
     152.500    7063.487       0.010       1.725       1.312       5.722       0.540       5.181
     152.600    7063.557       0.010       1.725       1.312       5.722       0.540       5.182
     152.700    7063.627       0.010       1.725       1.312       5.722       0.540       5.182
     152.800    7063.698       0.010       1.725       1.312       5.722       0.540       5.182
     152.900    7063.768       0.010       1.725       1.312       5.722       0.540       5.182
     153.000    7063.839       0.010       1.725       1.312       5.722       0.540       5.182
     153.100    7063.909       0.010       1.725       1.312       5.722       0.540       5.183
     153.200    7063.980       0.010       1.725       1.312       5.722       0.539       5.183
     153.300    7064.050       0.010       1.725       1.312       5.722       0.539       5.183
     153.400    7064.121       0.010       1.725       1.312       5.723       0.539       5.183
     153.500    7064.192       0.010       1.725       1.312       5.723       0.539       5.184
     153.600    7064.263       0.010       1.725       1.312       5.723       0.539       5.184
     153.700    7064.333       0.010       1.725       1.312       5.723       0.539       5.184
     153.800    7064.404       0.011       1.725       1.312       5.723       0.539       5.184
     153.900    7064.475       0.011       1.726       1.312       5.723       0.539       5.184
     154.000    7064.546       0.011       1.726       1.312       5.723       0.538       5.185
     154.100    7064.617       0.011       1.726       1.312       5.723       0.538       5.185
     154.200    7064.687       0.011       1.726       1.312       5.723       0.538       5.185
     154.300    7064.758       0.011       1.726       1.312       5.723       0.538       5.185
     154.400    7064.829       0.011       1.726       1.312       5.724       0.538       5.186
     154.500    7064.900       0.011       1.726       1.312       5.724       0.538       5.186
     154.600    7064.972       0.011       1.726       1.312       5.724       0.538       5.186
     154.700    7065.043       0.011       1.726       1.312       5.724       0.538       5.186
     154.800    7065.114       0.011       1.726       1.312       5.724       0.537       5.187
     154.900    7065.185       0.011       1.726       1.312       5.724       0.537       5.187
     155.000    7065.256       0.011       1.726       1.312       5.724       0.537       5.187
     155.100    7065.327       0.011       1.726       1.312       5.724       0.537       5.187
     155.200    7065.399       0.011       1.726       1.312       5.724       0.537       5.187
     155.300    7065.470       0.011       1.726       1.312       5.725       0.537       5.188
     155.400    7065.541       0.011       1.726       1.312       5.725       0.537       5.188
     155.500    7065.613       0.011       1.726       1.312       5.725       0.537       5.188
     155.600    7065.684       0.011       1.726       1.312       5.725       0.537       5.188
     155.700    7065.756       0.011       1.726       1.312       5.725       0.536       5.189
     155.800    7065.827       0.011       1.726       1.312       5.725       0.536       5.189
     155.900    7065.899       0.011       1.726       1.312       5.725       0.536       5.189
     156.000    7065.970       0.011       1.726       1.312       5.725       0.536       5.189
     156.100    7066.042       0.011       1.726       1.312       5.725       0.536       5.189
     156.200    7066.113       0.011       1.726       1.312       5.725       0.536       5.190
     156.300    7066.185       0.011       1.726       1.312       5.726       0.536       5.190
     156.400    7066.257       0.011       1.726       1.312       5.726       0.536       5.190
     156.500    7066.329       0.011       1.726       1.312       5.726       0.535       5.190
     156.600    7066.400       0.011       1.726       1.312       5.726       0.535       5.191
     156.700    7066.472       0.011       1.726       1.312       5.726       0.535       5.191
     156.800    7066.544       0.011       1.726       1.312       5.726       0.535       5.191
     156.900    7066.616       0.011       1.726       1.312       5.726       0.535       5.191
     157.000    7066.688       0.011       1.726       1.312       5.726       0.535       5.191
     157.100    7066.760       0.011       1.726       1.312       5.726       0.535       5.192
     157.200    7066.832       0.011       1.726       1.311       5.726       0.535       5.192
     157.300    7066.904       0.011       1.726       1.311       5.727       0.535       5.192
     157.400    7066.976       0.011       1.726       1.311       5.727       0.534       5.192
     157.500    7067.048       0.011       1.727       1.311       5.727       0.534       5.193
     157.600    7067.120       0.011       1.727       1.311       5.727       0.534       5.193
     157.700    7067.192       0.011       1.727       1.311       5.727       0.534       5.193
     157.800    7067.264       0.011       1.727       1.311       5.727       0.534       5.193
     157.900    7067.337       0.011       1.727       1.311       5.727       0.534       5.193
     158.000    7067.409       0.011       1.727       1.311       5.727       0.534       5.194
     158.100    7067.481       0.011       1.727       1.311       5.727       0.534       5.194
     158.200    7067.554       0.011       1.727       1.311       5.728       0.533       5.194
     158.300    7067.626       0.011       1.727       1.311       5.728       0.533       5.194
     158.400    7067.698       0.011       1.727       1.311       5.728       0.533       5.195
     158.500    7067.771       0.011       1.727       1.311       5.728       0.533       5.195
     158.600    7067.843       0.011       1.727       1.311       5.728       0.533       5.195
     158.700    7067.916       0.011       1.727       1.311       5.728       0.533       5.195
     158.800    7067.988       0.011       1.727       1.311       5.728       0.533       5.195
     158.900    7068.061       0.011       1.727       1.311       5.728       0.533       5.196
     159.000    7068.134       0.011       1.727       1.311       5.728       0.532       5.196
     159.100    7068.206       0.011       1.727       1.311       5.728       0.532       5.196
     159.200    7068.279       0.012       1.727       1.311       5.729       0.532       5.196
     159.300    7068.352       0.012       1.727       1.311       5.729       0.532       5.197
     159.400    7068.424       0.012       1.727       1.311       5.729       0.532       5.197
     159.500    7068.497       0.012       1.727       1.311       5.729       0.532       5.197
     159.600    7068.570       0.012       1.727       1.311       5.729       0.532       5.197
     159.700    7068.643       0.012       1.727       1.311       5.729       0.532       5.197
     159.800    7068.716       0.012       1.727       1.311       5.729       0.532       5.198
     159.900    7068.789       0.012       1.727       1.311       5.729       0.531       5.198
     160.000    7068.862       0.012       1.727       1.311       5.729       0.531       5.198
     160.100    7068.935       0.012       1.727       1.311       5.730       0.531       5.198
     160.200    7069.008       0.012       1.727       1.311       5.730       0.531       5.199
     160.300    7069.081       0.012       1.727       1.311       5.730       0.531       5.199
     160.400    7069.154       0.012       1.727       1.311       5.730       0.531       5.199
     160.500    7069.227       0.012       1.727       1.311       5.730       0.531       5.199
     160.600    7069.300       0.012       1.727       1.311       5.730       0.531       5.199
     160.700    7069.373       0.012       1.727       1.311       5.730       0.530       5.200
     160.800    7069.447       0.012       1.727       1.311       5.730       0.530       5.200
     160.900    7069.520       0.012       1.727       1.311       5.730       0.530       5.200
     161.000    7069.593       0.012       1.728       1.311       5.730       0.530       5.200
     161.100    7069.667       0.012       1.728       1.311       5.731       0.530       5.201
     161.200    7069.740       0.012       1.728       1.311       5.731       0.530       5.201
     161.300    7069.813       0.012       1.728       1.311       5.731       0.530       5.201
     161.400    7069.887       0.012       1.728       1.311       5.731       0.530       5.201
     161.500    7069.960       0.012       1.728       1.311       5.731       0.530       5.201
     161.600    7070.034       0.012       1.728       1.311       5.731       0.529       5.202
     161.700    7070.108       0.012       1.728       1.311       5.731       0.529       5.202
     161.800    7070.181       0.012       1.728       1.311       5.731       0.529       5.202
     161.900    7070.255       0.012       1.728       1.311       5.731       0.529       5.202
     162.000    7070.328       0.012       1.728       1.311       5.732       0.529       5.203
     162.100    7070.402       0.012       1.728       1.311       5.732       0.529       5.203
     162.200    7070.476       0.012       1.728       1.311       5.732       0.529       5.203
     162.300    7070.550       0.012       1.728       1.311       5.732       0.529       5.203
     162.400    7070.623       0.012       1.728       1.311       5.732       0.528       5.203
     162.500    7070.697       0.012       1.728       1.311       5.732       0.528       5.204
     162.600    7070.771       0.012       1.728       1.311       5.732       0.528       5.204
     162.700    7070.845       0.012       1.728       1.311       5.732       0.528       5.204
     162.800    7070.919       0.012       1.728       1.311       5.732       0.528       5.204
     162.900    7070.993       0.012       1.728       1.310       5.732       0.528       5.205
     163.000    7071.067       0.012       1.728       1.310       5.733       0.528       5.205
     163.100    7071.141       0.012       1.728       1.310       5.733       0.528       5.205
     163.200    7071.215       0.012       1.728       1.310       5.733       0.528       5.205
     163.300    7071.289       0.012       1.728       1.310       5.733       0.527       5.205
     163.400    7071.363       0.012       1.728       1.310       5.733       0.527       5.206
     163.500    7071.437       0.012       1.728       1.310       5.733       0.527       5.206
     163.600    7071.512       0.012       1.728       1.310       5.733       0.527       5.206
     163.700    7071.586       0.012       1.728       1.310       5.733       0.527       5.206
     163.800    7071.660       0.012       1.728       1.310       5.733       0.527       5.207
     163.900    7071.735       0.012       1.728       1.310       5.734       0.527       5.207
     164.000    7071.809       0.012       1.728       1.310       5.734       0.527       5.207
     164.100    7071.883       0.012       1.728       1.310       5.734       0.526       5.207
     164.200    7071.958       0.012       1.728       1.310       5.734       0.526       5.207
     164.300    7072.032       0.012       1.728       1.310       5.734       0.526       5.208
     164.400    7072.107       0.012       1.728       1.310       5.734       0.526       5.208
     164.500    7072.181       0.013       1.729       1.310       5.734       0.526       5.208
     164.600    7072.256       0.013       1.729       1.310       5.734       0.526       5.208
     164.700    7072.330       0.013       1.729       1.310       5.734       0.526       5.209
     164.800    7072.405       0.013       1.729       1.310       5.734       0.526       5.209
     164.900    7072.480       0.013       1.729       1.310       5.735       0.526       5.209
     165.000    7072.554       0.013       1.729       1.310       5.735       0.525       5.209
     165.100    7072.629       0.013       1.729       1.310       5.735       0.525       5.209
     165.200    7072.704       0.013       1.729       1.310       5.735       0.525       5.210
     165.300    7072.778       0.013       1.729       1.310       5.735       0.525       5.210
     165.400    7072.853       0.013       1.729       1.310       5.735       0.525       5.210
     165.500    7072.928       0.013       1.729       1.310       5.735       0.525       5.210
     165.600    7073.003       0.013       1.729       1.310       5.735       0.525       5.211
     165.700    7073.078       0.013       1.729       1.310       5.735       0.525       5.211
     165.800    7073.153       0.013       1.729       1.310       5.735       0.524       5.211
     165.900    7073.228       0.013       1.729       1.310       5.736       0.524       5.211
     166.000    7073.303       0.013       1.729       1.310       5.736       0.524       5.211
     166.100    7073.378       0.013       1.729       1.310       5.736       0.524       5.212
     166.200    7073.453       0.013       1.729       1.310       5.736       0.524       5.212
     166.300    7073.528       0.013       1.729       1.310       5.736       0.524       5.212
     166.400    7073.603       0.013       1.729       1.310       5.736       0.524       5.212
     166.500    7073.679       0.013       1.729       1.310       5.736       0.524       5.213
     166.600    7073.754       0.013       1.729       1.310       5.736       0.524       5.213
     166.700    7073.829       0.013       1.729       1.310       5.736       0.523       5.213
     166.800    7073.904       0.013       1.729       1.310       5.737       0.523       5.213
     166.900    7073.980       0.013       1.729       1.310       5.737       0.523       5.213
     167.000    7074.055       0.013       1.729       1.310       5.737       0.523       5.214
     167.100    7074.130       0.013       1.729       1.310       5.737       0.523       5.214
     167.200    7074.206       0.013       1.729       1.310       5.737       0.523       5.214
     167.300    7074.281       0.013       1.729       1.310       5.737       0.523       5.214
     167.400    7074.357       0.013       1.729       1.310       5.737       0.523       5.215
     167.500    7074.432       0.013       1.729       1.310       5.737       0.522       5.215
     167.600    7074.508       0.013       1.729       1.310       5.737       0.522       5.215
     167.700    7074.583       0.013       1.729       1.310       5.737       0.522       5.215
     167.800    7074.659       0.013       1.729       1.310       5.738       0.522       5.215
     167.900    7074.735       0.013       1.729       1.310       5.738       0.522       5.216
     168.000    7074.810       0.013       1.730       1.310       5.738       0.522       5.216
     168.100    7074.886       0.013       1.730       1.310       5.738       0.522       5.216
     168.200    7074.962       0.013       1.730       1.310       5.738       0.522       5.216
     168.300    7075.038       0.013       1.730       1.310       5.738       0.522       5.217
     168.400    7075.113       0.013       1.730       1.310       5.738       0.521       5.217
     168.500    7075.189       0.013       1.730       1.309       5.738       0.521       5.217
     168.600    7075.265       0.013       1.730       1.309       5.738       0.521       5.217
     168.700    7075.341       0.013       1.730       1.309       5.739       0.521       5.217
     168.800    7075.417       0.013       1.730       1.309       5.739       0.521       5.218
     168.900    7075.493       0.013       1.730       1.309       5.739       0.521       5.218
     169.000    7075.569       0.013       1.730       1.309       5.739       0.521       5.218
     169.100    7075.645       0.013       1.730       1.309       5.739       0.521       5.218
     169.200    7075.721       0.013       1.730       1.309       5.739       0.520       5.219
     169.300    7075.797       0.013       1.730       1.309       5.739       0.520       5.219
     169.400    7075.874       0.013       1.730       1.309       5.739       0.520       5.219
     169.500    7075.950       0.013       1.730       1.309       5.739       0.520       5.219
     169.600    7076.026       0.013       1.730       1.309       5.739       0.520       5.219
     169.700    7076.102       0.013       1.730       1.309       5.740       0.520       5.220
     169.800    7076.178       0.013       1.730       1.309       5.740       0.520       5.220
     169.900    7076.255       0.014       1.730       1.309       5.740       0.520       5.220
     170.000    7076.331       0.014       1.730       1.309       5.740       0.520       5.220
     170.100    7076.408       0.014       1.730       1.309       5.740       0.519       5.221
     170.200    7076.484       0.014       1.730       1.309       5.740       0.519       5.221
     170.300    7076.560       0.014       1.730       1.309       5.740       0.519       5.221
     170.400    7076.637       0.014       1.730       1.309       5.740       0.519       5.221
     170.500    7076.713       0.014       1.730       1.309       5.740       0.519       5.221
     170.600    7076.790       0.014       1.730       1.309       5.741       0.519       5.222
     170.700    7076.867       0.014       1.730       1.309       5.741       0.519       5.222
     170.800    7076.943       0.014       1.730       1.309       5.741       0.519       5.222
     170.900    7077.020       0.014       1.730       1.309       5.741       0.518       5.222
     171.000    7077.096       0.014       1.730       1.309       5.741       0.518       5.223
     171.100    7077.173       0.014       1.730       1.309       5.741       0.518       5.223
     171.200    7077.250       0.014       1.730       1.309       5.741       0.518       5.223
     171.300    7077.327       0.014       1.730       1.309       5.741       0.518       5.223
     171.400    7077.403       0.014       1.730       1.309       5.741       0.518       5.223
     171.500    7077.480       0.014       1.731       1.309       5.741       0.518       5.224
     171.600    7077.557       0.014       1.731       1.309       5.742       0.518       5.224
     171.700    7077.634       0.014       1.731       1.309       5.742       0.518       5.224
     171.800    7077.711       0.014       1.731       1.309       5.742       0.517       5.224
     171.900    7077.788       0.014       1.731       1.309       5.742       0.517       5.225
     172.000    7077.865       0.014       1.731       1.309       5.742       0.517       5.225
     172.100    7077.942       0.014       1.731       1.309       5.742       0.517       5.225
     172.200    7078.019       0.014       1.731       1.309       5.742       0.517       5.225
     172.300    7078.096       0.014       1.731       1.309       5.742       0.517       5.225
     172.400    7078.173       0.014       1.731       1.309       5.742       0.517       5.226
     172.500    7078.251       0.014       1.731       1.309       5.743       0.517       5.226
     172.600    7078.328       0.014       1.731       1.309       5.743       0.516       5.226
     172.700    7078.405       0.014       1.731       1.309       5.743       0.516       5.226
     172.800    7078.482       0.014       1.731       1.309       5.743       0.516       5.227
     172.900    7078.559       0.014       1.731       1.309       5.743       0.516       5.227
     173.000    7078.637       0.014       1.731       1.309       5.743       0.516       5.227
     173.100    7078.714       0.014       1.731       1.309       5.743       0.516       5.227
     173.200    7078.792       0.014       1.731       1.309       5.743       0.516       5.227
     173.300    7078.869       0.014       1.731       1.309       5.743       0.516       5.228
     173.400    7078.946       0.014       1.731       1.309       5.743       0.516       5.228
     173.500    7079.024       0.014       1.731       1.309       5.744       0.515       5.228
     173.600    7079.101       0.014       1.731       1.309       5.744       0.515       5.228
     173.700    7079.179       0.014       1.731       1.309       5.744       0.515       5.229
     173.800    7079.257       0.014       1.731       1.309       5.744       0.515       5.229
     173.900    7079.334       0.014       1.731       1.309       5.744       0.515       5.229
     174.000    7079.412       0.014       1.731       1.309       5.744       0.515       5.229
     174.100    7079.490       0.014       1.731       1.309       5.744       0.515       5.229
     174.200    7079.567       0.014       1.731       1.309       5.744       0.515       5.230
     174.300    7079.645       0.014       1.731       1.308       5.744       0.515       5.230
     174.400    7079.723       0.014       1.731       1.308       5.745       0.514       5.230
     174.500    7079.801       0.014       1.731       1.308       5.745       0.514       5.230
     174.600    7079.878       0.014       1.731       1.308       5.745       0.514       5.231
     174.700    7079.956       0.014       1.731       1.308       5.745       0.514       5.231
     174.800    7080.034       0.014       1.731       1.308       5.745       0.514       5.231
     174.900    7080.112       0.014       1.731       1.308       5.745       0.514       5.231
     175.000    7080.190       0.014       1.732       1.308       5.745       0.514       5.231
     175.100    7080.268       0.014       1.732       1.308       5.745       0.514       5.232
     175.200    7080.346       0.014       1.732       1.308       5.745       0.513       5.232
     175.300    7080.424       0.015       1.732       1.308       5.745       0.513       5.232
     175.400    7080.502       0.015       1.732       1.308       5.746       0.513       5.232
     175.500    7080.580       0.015       1.732       1.308       5.746       0.513       5.233
     175.600    7080.659       0.015       1.732       1.308       5.746       0.513       5.233
     175.700    7080.737       0.015       1.732       1.308       5.746       0.513       5.233
     175.800    7080.815       0.015       1.732       1.308       5.746       0.513       5.233
     175.900    7080.893       0.015       1.732       1.308       5.746       0.513       5.233
     176.000    7080.971       0.015       1.732       1.308       5.746       0.513       5.234
     176.100    7081.050       0.015       1.732       1.308       5.746       0.512       5.234
     176.200    7081.128       0.015       1.732       1.308       5.746       0.512       5.234
     176.300    7081.206       0.015       1.732       1.308       5.746       0.512       5.234
     176.400    7081.285       0.015       1.732       1.308       5.747       0.512       5.235
     176.500    7081.363       0.015       1.732       1.308       5.747       0.512       5.235
     176.600    7081.442       0.015       1.732       1.308       5.747       0.512       5.235
     176.700    7081.520       0.015       1.732       1.308       5.747       0.512       5.235
     176.800    7081.599       0.015       1.732       1.308       5.747       0.512       5.235
     176.900    7081.677       0.015       1.732       1.308       5.747       0.511       5.236
     177.000    7081.756       0.015       1.732       1.308       5.747       0.511       5.236
     177.100    7081.835       0.015       1.732       1.308       5.747       0.511       5.236
     177.200    7081.913       0.015       1.732       1.308       5.747       0.511       5.236
     177.300    7081.992       0.015       1.732       1.308       5.748       0.511       5.237
     177.400    7082.071       0.015       1.732       1.308       5.748       0.511       5.237
     177.500    7082.149       0.015       1.732       1.308       5.748       0.511       5.237
     177.600    7082.228       0.015       1.732       1.308       5.748       0.511       5.237
     177.700    7082.307       0.015       1.732       1.308       5.748       0.511       5.237
     177.800    7082.386       0.015       1.732       1.308       5.748       0.510       5.238
     177.900    7082.465       0.015       1.732       1.308       5.748       0.510       5.238
     178.000    7082.544       0.015       1.732       1.308       5.748       0.510       5.238
     178.100    7082.623       0.015       1.732       1.308       5.748       0.510       5.238
     178.200    7082.702       0.015       1.732       1.308       5.748       0.510       5.239
     178.300    7082.781       0.015       1.732       1.308       5.749       0.510       5.239
     178.400    7082.860       0.015       1.732       1.308       5.749       0.510       5.239
     178.500    7082.939       0.015       1.733       1.308       5.749       0.510       5.239
     178.600    7083.018       0.015       1.733       1.308       5.749       0.509       5.239
     178.700    7083.097       0.015       1.733       1.308       5.749       0.509       5.240
     178.800    7083.176       0.015       1.733       1.308       5.749       0.509       5.240
     178.900    7083.255       0.015       1.733       1.308       5.749       0.509       5.240
     179.000    7083.335       0.015       1.733       1.308       5.749       0.509       5.240
     179.100    7083.414       0.015       1.733       1.308       5.749       0.509       5.241
     179.200    7083.493       0.015       1.733       1.308       5.750       0.509       5.241
     179.300    7083.572       0.015       1.733       1.308       5.750       0.509       5.241
     179.400    7083.652       0.015       1.733       1.308       5.750       0.509       5.241
     179.500    7083.731       0.015       1.733       1.308       5.750       0.508       5.241
     179.600    7083.811       0.015       1.733       1.308       5.750       0.508       5.242
     179.700    7083.890       0.015       1.733       1.308       5.750       0.508       5.242
     179.800    7083.969       0.015       1.733       1.308       5.750       0.508       5.242
     179.900    7084.049       0.015       1.733       1.308       5.750       0.508       5.242
     180.000    7084.128       0.015       1.733       1.308       5.750       0.508       5.242
     180.100    7084.208       0.015       1.733       1.307       5.750       0.508       5.243
     180.200    7084.288       0.015       1.733       1.307       5.751       0.508       5.243
     180.300    7084.367       0.015       1.733       1.307       5.751       0.508       5.243
     180.400    7084.447       0.015       1.733       1.307       5.751       0.507       5.243
     180.500    7084.527       0.015       1.733       1.307       5.751       0.507       5.244
     180.600    7084.606       0.015       1.733       1.307       5.751       0.507       5.244
     180.700    7084.686       0.015       1.733       1.307       5.751       0.507       5.244
     180.800    7084.766       0.016       1.733       1.307       5.751       0.507       5.244
     180.900    7084.846       0.016       1.733       1.307       5.751       0.507       5.244
     181.000    7084.925       0.016       1.733       1.307       5.751       0.507       5.245
     181.100    7085.005       0.016       1.733       1.307       5.752       0.507       5.245
     181.200    7085.085       0.016       1.733       1.307       5.752       0.506       5.245
     181.300    7085.165       0.016       1.733       1.307       5.752       0.506       5.245
     181.400    7085.245       0.016       1.733       1.307       5.752       0.506       5.246
     181.500    7085.325       0.016       1.733       1.307       5.752       0.506       5.246
     181.600    7085.405       0.016       1.733       1.307       5.752       0.506       5.246
     181.700    7085.485       0.016       1.733       1.307       5.752       0.506       5.246
     181.800    7085.565       0.016       1.733       1.307       5.752       0.506       5.246
