
          t           x           y           z          Vx          Vy          Vz           m        Vхар 
       107.9     877.902    5732.174   -3977.590       1.881       3.974       6.125        6953    0.022702
       108.0     878.090    5732.571   -3976.978       1.880       3.974       6.125        6952    0.022989
       108.1     878.278    5732.969   -3976.365       1.880       3.973       6.126        6951    0.023276
       108.2     878.466    5733.366   -3975.753       1.880       3.973       6.126        6951    0.023564
       108.3     878.654    5733.763   -3975.140       1.880       3.973       6.127        6950    0.023851
       108.4     878.842    5734.161   -3974.527       1.879       3.972       6.127        6950    0.024138
       108.5     879.030    5734.558   -3973.915       1.879       3.972       6.128        6949    0.024425
       108.6     879.217    5734.955   -3973.302       1.879       3.971       6.128        6948    0.024713
       108.7     879.405    5735.352   -3972.689       1.879       3.971       6.129        6948    0.025000
       108.8     879.593    5735.749   -3972.076       1.878       3.970       6.129        6947    0.025287
       108.9     879.781    5736.146   -3971.463       1.878       3.970       6.130        6947    0.025575
       109.0     879.969    5736.543   -3970.850       1.878       3.970       6.130        6946    0.025862
       109.1     880.157    5736.940   -3970.237       1.878       3.969       6.131        6945    0.026149
       109.2     880.344    5737.337   -3969.624       1.877       3.969       6.132        6945    0.026436
       109.3     880.532    5737.734   -3969.011       1.877       3.968       6.132        6944    0.026724
       109.4     880.720    5738.131   -3968.397       1.877       3.968       6.133        6944    0.027011
       109.5     880.907    5738.527   -3967.784       1.877       3.967       6.133        6943    0.027298
       109.6     881.095    5738.924   -3967.171       1.876       3.967       6.134        6942    0.027585
       109.7     881.283    5739.321   -3966.558       1.876       3.967       6.134        6942    0.027873
       109.8     881.470    5739.717   -3965.944       1.876       3.966       6.135        6941    0.028160
       109.9     881.658    5740.114   -3965.331       1.875       3.966       6.135        6941    0.028447
       110.0     881.845    5740.511   -3964.717       1.875       3.965       6.136        6940    0.028734
       110.1     882.033    5740.907   -3964.103       1.875       3.965       6.136        6939    0.029022
       110.2     882.220    5741.304   -3963.490       1.875       3.964       6.137        6939    0.029309
       110.3     882.408    5741.700   -3962.876       1.874       3.964       6.137        6938    0.029596
       110.4     882.595    5742.096   -3962.262       1.874       3.964       6.138        6938    0.029883
