
          t           x           y           z          Vx          Vy          Vz           m        Vхар 
       100.0     862.962    5700.643   -4025.811       1.901       4.008       6.083        7000    0.000000
       100.1     863.152    5701.044   -4025.203       1.901       4.008       6.083        6999    0.000280
       100.2     863.342    5701.445   -4024.594       1.902       4.007       6.084        6999    0.000560
       100.3     863.533    5701.845   -4023.986       1.902       4.007       6.084        6998    0.000841
       100.4     863.723    5702.246   -4023.378       1.902       4.006       6.085        6998    0.001121
       100.5     863.913    5702.647   -4022.769       1.902       4.006       6.085        6997    0.001401
       100.6     864.103    5703.047   -4022.161       1.902       4.005       6.085        6996    0.001681
       100.7     864.293    5703.448   -4021.552       1.902       4.005       6.086        6996    0.001961
       100.8     864.484    5703.848   -4020.943       1.902       4.004       6.086        6995    0.002242
       100.9     864.674    5704.249   -4020.335       1.903       4.004       6.087        6995    0.002522
       101.0     864.864    5704.649   -4019.726       1.903       4.003       6.087        6994    0.002802
       101.1     865.054    5705.049   -4019.117       1.903       4.003       6.087        6993    0.003082
       101.2     865.245    5705.449   -4018.509       1.903       4.002       6.088        6993    0.003362
       101.3     865.435    5705.850   -4017.900       1.903       4.002       6.088        6992    0.003642
       101.4     865.625    5706.250   -4017.291       1.903       4.001       6.089        6992    0.003923
       101.5     865.816    5706.650   -4016.682       1.903       4.000       6.089        6991    0.004203
       101.6     866.006    5707.050   -4016.073       1.903       4.000       6.089        6990    0.004483
       101.7     866.196    5707.450   -4015.464       1.904       3.999       6.090        6990    0.004763
       101.8     866.387    5707.850   -4014.855       1.904       3.999       6.090        6989    0.005043
       101.9     866.577    5708.250   -4014.246       1.904       3.998       6.091        6989    0.005324
       102.0     866.767    5708.649   -4013.637       1.904       3.998       6.091        6988    0.005604
       102.1     866.958    5709.049   -4013.028       1.904       3.997       6.091        6987    0.005884
       102.2     867.148    5709.449   -4012.419       1.904       3.997       6.092        6987    0.006164
       102.3     867.339    5709.849   -4011.810       1.904       3.996       6.092        6986    0.006444
       102.4     867.529    5710.248   -4011.200       1.904       3.996       6.093        6986    0.006725
       102.5     867.720    5710.648   -4010.591       1.905       3.995       6.093        6985    0.007005
       102.6     867.910    5711.047   -4009.982       1.905       3.995       6.093        6984    0.007285
       102.7     868.100    5711.447   -4009.373       1.905       3.994       6.094        6984    0.007565
       102.8     868.291    5711.846   -4008.763       1.905       3.994       6.094        6983    0.007845
       102.9     868.481    5712.246   -4008.154       1.905       3.993       6.094        6983    0.008126
       103.0     868.672    5712.645   -4007.544       1.905       3.993       6.095        6982    0.008406
       103.1     868.863    5713.044   -4006.935       1.905       3.992       6.095        6981    0.008686
       103.2     869.053    5713.443   -4006.325       1.905       3.992       6.096        6981    0.008966
       103.3     869.244    5713.843   -4005.716       1.906       3.991       6.096        6980    0.009246
       103.4     869.434    5714.242   -4005.106       1.906       3.991       6.096        6980    0.009526
       103.5     869.625    5714.641   -4004.496       1.906       3.990       6.097        6979    0.009807
       103.6     869.815    5715.040   -4003.887       1.906       3.990       6.097        6978    0.010087
       103.7     870.006    5715.439   -4003.277       1.906       3.989       6.098        6978    0.010367
       103.8     870.197    5715.838   -4002.667       1.906       3.989       6.098        6977    0.010647
       103.9     870.387    5716.236   -4002.057       1.906       3.988       6.098        6977    0.010927
       104.0     870.578    5716.635   -4001.448       1.906       3.988       6.099        6976    0.011208
       104.1     870.768    5717.034   -4000.838       1.907       3.987       6.099        6975    0.011488
       104.2     870.959    5717.433   -4000.228       1.907       3.987       6.100        6975    0.011768
       104.3     871.150    5717.831   -3999.618       1.907       3.986       6.100        6974    0.012048
       104.4     871.341    5718.230   -3999.008       1.907       3.986       6.100        6974    0.012328
       104.5     871.531    5718.629   -3998.398       1.907       3.985       6.101        6973    0.012609
       104.6     871.722    5719.027   -3997.788       1.907       3.985       6.101        6972    0.012889
       104.7     871.913    5719.426   -3997.177       1.907       3.984       6.101        6972    0.013169
       104.8     872.103    5719.824   -3996.567       1.908       3.984       6.102        6971    0.013449
       104.9     872.294    5720.222   -3995.957       1.908       3.983       6.102        6971    0.013729
       105.0     872.485    5720.621   -3995.347       1.908       3.983       6.103        6970    0.014009
       105.1     872.676    5721.019   -3994.737       1.908       3.982       6.103        6969    0.014290
       105.2     872.866    5721.417   -3994.126       1.908       3.982       6.103        6969    0.014570
       105.3     873.057    5721.815   -3993.516       1.908       3.981       6.104        6968    0.014850
       105.4     873.248    5722.213   -3992.905       1.908       3.981       6.104        6968    0.015130
       105.5     873.439    5722.611   -3992.295       1.908       3.980       6.105        6967    0.015410
       105.6     873.630    5723.009   -3991.685       1.909       3.980       6.105        6966    0.015691
       105.7     873.821    5723.407   -3991.074       1.909       3.979       6.105        6966    0.015971
       105.8     874.012    5723.805   -3990.464       1.909       3.979       6.106        6965    0.016251
       105.9     874.202    5724.203   -3989.853       1.909       3.978       6.106        6965    0.016531
       106.0     874.393    5724.601   -3989.242       1.909       3.978       6.107        6964    0.016811
       106.1     874.584    5724.999   -3988.632       1.909       3.977       6.107        6963    0.017092
       106.2     874.775    5725.396   -3988.021       1.909       3.977       6.107        6963    0.017372
       106.3     874.966    5725.794   -3987.410       1.909       3.976       6.108        6962    0.017652
       106.4     875.157    5726.192   -3986.799       1.910       3.976       6.108        6962    0.017932
       106.5     875.348    5726.589   -3986.189       1.910       3.975       6.108        6961    0.018212
       106.6     875.539    5726.987   -3985.578       1.910       3.975       6.109        6960    0.018493
       106.7     875.730    5727.384   -3984.967       1.910       3.974       6.109        6960    0.018773
       106.8     875.921    5727.781   -3984.356       1.910       3.974       6.110        6959    0.019053
       106.9     876.112    5728.179   -3983.745       1.910       3.973       6.110        6959    0.019333
       107.0     876.303    5728.576   -3983.134       1.910       3.973       6.110        6958    0.019613
       107.1     876.494    5728.973   -3982.523       1.910       3.972       6.111        6957    0.019893
       107.2     876.685    5729.371   -3981.912       1.911       3.972       6.111        6957    0.020174
       107.3     876.876    5729.768   -3981.301       1.911       3.971       6.112        6956    0.020454
       107.4     877.067    5730.165   -3980.689       1.911       3.971       6.112        6956    0.020734
       107.5     877.258    5730.562   -3980.078       1.911       3.970       6.112        6955    0.021014
       107.6     877.449    5730.959   -3979.467       1.911       3.970       6.113        6954    0.021294
       107.7     877.641    5731.356   -3978.856       1.911       3.969       6.113        6954    0.021575
       107.8     877.832    5731.753   -3978.244       1.911       3.969       6.114        6953    0.021855
       107.9     878.023    5732.149   -3977.633       1.911       3.968       6.114        6953    0.022135
       108.0     878.214    5732.546   -3977.021       1.912       3.967       6.114        6952    0.022415
       108.1     878.405    5732.943   -3976.410       1.912       3.967       6.115        6951    0.022695
       108.2     878.596    5733.340   -3975.799       1.912       3.966       6.115        6951    0.022976
       108.3     878.787    5733.736   -3975.187       1.912       3.966       6.115        6950    0.023256
       108.4     878.979    5734.133   -3974.575       1.912       3.965       6.116        6950    0.023536
       108.5     879.170    5734.529   -3973.964       1.912       3.965       6.116        6949    0.023816
       108.6     879.361    5734.926   -3973.352       1.912       3.964       6.117        6948    0.024096
       108.7     879.552    5735.322   -3972.741       1.912       3.964       6.117        6948    0.024377
       108.8     879.744    5735.719   -3972.129       1.913       3.963       6.117        6947    0.024657
       108.9     879.935    5736.115   -3971.517       1.913       3.963       6.118        6947    0.024937
       109.0     880.126    5736.511   -3970.905       1.913       3.962       6.118        6946    0.025217
       109.1     880.317    5736.907   -3970.293       1.913       3.962       6.119        6945    0.025497
