
          t        hper         hap 
       24.50     180.297     255.167
       24.60     180.217     255.392
       24.70     180.136     255.617
       24.80     180.056     255.842
       24.90     179.976     256.068
       25.00     179.896     256.293
       25.10     179.816     256.518
       25.20     179.735     256.744
       25.30     179.655     256.969
       25.40     179.575     257.194
       25.50     179.495     257.419
       25.60     179.414     257.645
       25.70     179.334     257.870
       25.80     179.254     258.095
       25.90     179.174     258.320
       26.00     179.094     258.546
       26.10     179.013     258.771
       26.20     178.933     258.996
       26.30     178.853     259.221
       26.40     178.773     259.447
       26.50     178.693     259.672
       26.60     178.612     259.897
       26.70     178.532     260.123
       26.80     178.452     260.348
       26.90     178.372     260.573
       27.00     178.292     260.798
       27.10     178.211     261.024
       27.20     178.131     261.249
       27.30     178.051     261.474
       27.40     177.971     261.700
       27.50     177.891     261.925
       27.60     177.810     262.150
       27.70     177.730     262.376
       27.80     177.650     262.601
       27.90     177.570     262.826
       28.00     177.490     263.051
       28.10     177.410     263.277
       28.20     177.329     263.502
       28.30     177.249     263.727
       28.40     177.169     263.953
       28.50     177.089     264.178
       28.60     177.009     264.403
       28.70     176.929     264.629
       28.80     176.849     264.854
       28.90     176.768     265.079
       29.00     176.688     265.305
       29.10     176.608     265.530
       29.20     176.528     265.755
       29.30     176.448     265.981
       29.40     176.368     266.206
       29.50     176.288     266.431
       29.60     176.207     266.657
       29.70     176.127     266.882
       29.80     176.047     267.107
       29.90     175.967     267.333
       30.00     175.887     267.558
       30.10     175.807     267.783
       30.20     175.727     268.009
       30.30     175.647     268.234
       30.40     175.567     268.460
       30.50     175.486     268.685
       30.60     175.406     268.910
       30.70     175.326     269.136
       30.80     175.246     269.361
       30.90     175.166     269.586
       31.00     175.086     269.812
       31.10     175.006     270.037
       31.20     174.926     270.263
       31.30     174.846     270.488
       31.40     174.766     270.713
       31.50     174.686     270.939
       31.60     174.605     271.164
       31.70     174.525     271.390
       31.80     174.445     271.615
       31.90     174.365     271.840
       32.00     174.285     272.066
       32.10     174.205     272.291
       32.20     174.125     272.517
       32.30     174.045     272.742
       32.40     173.965     272.967
       32.50     173.885     273.193
       32.60     173.805     273.418
       32.70     173.725     273.644
       32.80     173.645     273.869
       32.90     173.565     274.095
       33.00     173.485     274.320
       33.10     173.405     274.545
       33.20     173.325     274.771
       33.30     173.245     274.996
       33.40     173.164     275.222
       33.50     173.084     275.447
       33.60     173.004     275.673
       33.70     172.924     275.898
       33.80     172.844     276.124
       33.90     172.764     276.349
       34.00     172.684     276.574
       34.10     172.604     276.800
       34.20     172.524     277.025
       34.30     172.444     277.251
       34.40     172.364     277.476
       34.50     172.284     277.702
       34.60     172.204     277.927
       34.70     172.124     278.153
       34.80     172.044     278.378
       34.90     171.964     278.604
       35.00     171.884     278.829
       35.10     171.804     279.055
       35.20     171.724     279.280
       35.30     171.644     279.506
       35.40     171.564     279.731
       35.50     171.485     279.957
       35.60     171.405     280.182
       35.70     171.325     280.408
       35.80     171.245     280.633
       35.90     171.165     280.859
       36.00     171.085     281.084
       36.10     171.005     281.310
       36.20     170.925     281.536
       36.30     170.845     281.761
       36.40     170.765     281.987
       36.50     170.685     282.212
       36.60     170.605     282.438
       36.70     170.525     282.663
       36.80     170.445     282.889
       36.90     170.365     283.114
       37.00     170.285     283.340
       37.10     170.205     283.565
       37.20     170.125     283.791
       37.30     170.046     284.017
       37.40     169.966     284.242
       37.50     169.886     284.468
       37.60     169.806     284.693
       37.70     169.726     284.919
       37.80     169.646     285.145
       37.90     169.566     285.370
       38.00     169.486     285.596
       38.10     169.406     285.821
       38.20     169.326     286.047
       38.30     169.247     286.272
       38.40     169.167     286.498
       38.50     169.087     286.724
       38.60     169.007     286.949
       38.70     168.927     287.175
       38.80     168.847     287.401
       38.90     168.767     287.626
       39.00     168.687     287.852
       39.10     168.608     288.077
       39.20     168.528     288.303
       39.30     168.448     288.529
       39.40     168.368     288.754
       39.50     168.288     288.980
       39.60     168.208     289.206
       39.70     168.128     289.431
       39.80     168.049     289.657
       39.90     167.969     289.883
       40.00     167.889     290.108
       40.10     167.809     290.334
       40.20     167.729     290.560
       40.30     167.649     290.785
       40.40     167.570     291.011
       40.50     167.490     291.237
       40.60     167.410     291.462
       40.70     167.330     291.688
       40.80     167.250     291.914
       40.90     167.171     292.140
       41.00     167.091     292.365
       41.10     167.011     292.591
       41.20     166.931     292.817
       41.30     166.851     293.042
       41.40     166.772     293.268
       41.50     166.692     293.494
       41.60     166.612     293.720
       41.70     166.532     293.945
       41.80     166.452     294.171
       41.90     166.373     294.397
       42.00     166.293     294.623
       42.10     166.213     294.848
       42.20     166.133     295.074
       42.30     166.054     295.300
       42.40     165.974     295.526
       42.50     165.894     295.751
       42.60     165.814     295.977
       42.70     165.735     296.203
       42.80     165.655     296.429
       42.90     165.575     296.655
       43.00     165.495     296.880
       43.10     165.416     297.106
       43.20     165.336     297.332
       43.30     165.256     297.558
       43.40     165.176     297.784
       43.50     165.097     298.009
       43.60     165.017     298.235
       43.70     164.937     298.461
       43.80     164.858     298.687
       43.90     164.778     298.913
       44.00     164.698     299.139
       44.10     164.619     299.364
       44.20     164.539     299.590
       44.30     164.459     299.816
       44.40     164.379     300.042
       44.50     164.300     300.268
       44.60     164.220     300.494
       44.70     164.140     300.719
       44.80     164.061     300.945
       44.90     163.981     301.171
       45.00     163.901     301.397
       45.10     163.822     301.623
       45.20     163.742     301.849
       45.30     163.662     302.075
       45.40     163.583     302.301
       45.50     163.503     302.527
       45.60     163.424     302.753
       45.70     163.344     302.978
       45.80     163.264     303.204
       45.90     163.185     303.430
       46.00     163.105     303.656
       46.10     163.025     303.882
       46.20     162.946     304.108
       46.30     162.866     304.334
       46.40     162.787     304.560
       46.50     162.707     304.786
       46.60     162.627     305.012
       46.70     162.548     305.238
       46.80     162.468     305.464
       46.90     162.389     305.690
       47.00     162.309     305.916
       47.10     162.229     306.142
       47.20     162.150     306.368
       47.30     162.070     306.594
       47.40     161.991     306.820
       47.50     161.911     307.046
       47.60     161.831     307.272
       47.70     161.752     307.498
       47.80     161.672     307.724
       47.90     161.593     307.950
       48.00     161.513     308.176
       48.10     161.434     308.402
       48.20     161.354     308.628
       48.30     161.275     308.854
       48.40     161.195     309.080
       48.50     161.116     309.306
       48.60     161.036     309.532
       48.70     160.956     309.758
       48.80     160.877     309.984
       48.90     160.797     310.210
       49.00     160.718     310.436
       49.10     160.638     310.662
       49.20     160.559     310.889
       49.30     160.479     311.115
       49.40     160.400     311.341
       49.50     160.320     311.567
       49.60     160.241     311.793
       49.70     160.161     312.019
       49.80     160.082     312.245
       49.90     160.003     312.471
       50.00     159.923     312.697
       50.10     159.844     312.924
       50.20     159.764     313.150
       50.30     159.685     313.376
       50.40     159.605     313.602
       50.50     159.526     313.828
       50.60     159.446     314.054
       50.70     159.367     314.281
       50.80     159.287     314.507
       50.90     159.208     314.733
       51.00     159.129     314.959
       51.10     159.049     315.185
       51.20     158.970     315.411
       51.30     158.890     315.638
       51.40     158.811     315.864
       51.50     158.731     316.090
       51.60     158.652     316.316
       51.70     158.573     316.543
       51.80     158.493     316.769
       51.90     158.414     316.995
       52.00     158.334     317.221
       52.10     158.255     317.447
       52.20     158.176     317.674
       52.30     158.096     317.900
       52.40     158.017     318.126
       52.50     157.938     318.353
       52.60     157.858     318.579
       52.70     157.779     318.805
       52.80     157.699     319.031
       52.90     157.620     319.258
       53.00     157.541     319.484
       53.10     157.461     319.710
       53.20     157.382     319.937
       53.30     157.303     320.163
       53.40     157.223     320.389
       53.50     157.144     320.616
       53.60     157.065     320.842
       53.70     156.985     321.068
       53.80     156.906     321.295
       53.90     156.827     321.521
       54.00     156.747     321.747
       54.10     156.668     321.974
       54.20     156.589     322.200
       54.30     156.510     322.426
       54.40     156.430     322.653
       54.50     156.351     322.879
       54.60     156.272     323.106
       54.70     156.192     323.332
       54.80     156.113     323.558
       54.90     156.034     323.785
       55.00     155.955     324.011
       55.10     155.875     324.238
       55.20     155.796     324.464
       55.30     155.717     324.691
       55.40     155.638     324.917
       55.50     155.558     325.143
       55.60     155.479     325.370
       55.70     155.400     325.596
       55.80     155.321     325.823
       55.90     155.241     326.049
       56.00     155.162     326.276
       56.10     155.083     326.502
       56.20     155.004     326.729
       56.30     154.925     326.955
       56.40     154.845     327.182
       56.50     154.766     327.408
       56.60     154.687     327.635
       56.70     154.608     327.861
       56.80     154.529     328.088
       56.90     154.449     328.314
       57.00     154.370     328.541
       57.10     154.291     328.768
       57.20     154.212     328.994
       57.30     154.133     329.221
       57.40     154.054     329.447
       57.50     153.974     329.674
       57.60     153.895     329.900
       57.70     153.816     330.127
       57.80     153.737     330.354
       57.90     153.658     330.580
       58.00     153.579     330.807
       58.10     153.500     331.033
       58.20     153.421     331.260
       58.30     153.341     331.487
       58.40     153.262     331.713
       58.50     153.183     331.940
       58.60     153.104     332.167
       58.70     153.025     332.393
       58.80     152.946     332.620
       58.90     152.867     332.847
       59.00     152.788     333.073
       59.10     152.709     333.300
       59.20     152.630     333.527
       59.30     152.551     333.753
       59.40     152.471     333.980
       59.50     152.392     334.207
       59.60     152.313     334.434
       59.70     152.234     334.660
       59.80     152.155     334.887
       59.90     152.076     335.114
       60.00     151.997     335.341
       60.10     151.918     335.567
       60.20     151.839     335.794
       60.30     151.760     336.021
       60.40     151.681     336.248
       60.50     151.602     336.474
       60.60     151.523     336.701
       60.70     151.444     336.928
       60.80     151.365     337.155
       60.90     151.286     337.382
       61.00     151.207     337.608
       61.10     151.128     337.835
       61.20     151.049     338.062
       61.30     150.970     338.289
       61.40     150.891     338.516
       61.50     150.812     338.743
       61.60     150.733     338.969
       61.70     150.654     339.196
       61.80     150.575     339.423
       61.90     150.496     339.650
       62.00     150.418     339.877
       62.10     150.339     340.104
       62.20     150.260     340.331
       62.30     150.181     340.558
       62.40     150.102     340.785
       62.50     150.023     341.012
       62.60     149.944     341.239
       62.70     149.865     341.465
       62.80     149.786     341.692
       62.90     149.707     341.919
       63.00     149.628     342.146
       63.10     149.550     342.373
       63.20     149.471     342.600
       63.30     149.392     342.827
       63.40     149.313     343.054
       63.50     149.234     343.281
       63.60     149.155     343.508
       63.70     149.076     343.735
       63.80     148.997     343.962
       63.90     148.919     344.189
       64.00     148.840     344.416
       64.10     148.761     344.643
       64.20     148.682     344.871
       64.30     148.603     345.098
       64.40     148.525     345.325
       64.50     148.446     345.552
       64.60     148.367     345.779
       64.70     148.288     346.006
       64.80     148.209     346.233
       64.90     148.131     346.460
       65.00     148.052     346.687
       65.10     147.973     346.914
       65.20     147.894     347.142
       65.30     147.815     347.369
       65.40     147.737     347.596
       65.50     147.658     347.823
       65.60     147.579     348.050
       65.70     147.500     348.277
       65.80     147.422     348.505
       65.90     147.343     348.732
       66.00     147.264     348.959
       66.10     147.185     349.186
       66.20     147.107     349.413
       66.30     147.028     349.641
       66.40     146.949     349.868
       66.50     146.871     350.095
       66.60     146.792     350.322
       66.70     146.713     350.550
       66.80     146.635     350.777
       66.90     146.556     351.004
       67.00     146.477     351.231
       67.10     146.398     351.459
       67.20     146.320     351.686
       67.30     146.241     351.913
       67.40     146.162     352.141
       67.50     146.084     352.368
       67.60     146.005     352.595
       67.70     145.927     352.823
       67.80     145.848     353.050
       67.90     145.769     353.277
       68.00     145.691     353.505
       68.10     145.612     353.732
       68.20     145.533     353.959
       68.30     145.455     354.187
       68.40     145.376     354.414
       68.50     145.298     354.642
       68.60     145.219     354.869
       68.70     145.140     355.096
       68.80     145.062     355.324
       68.90     144.983     355.551
       69.00     144.905     355.779
       69.10     144.826     356.006
       69.20     144.748     356.234
       69.30     144.669     356.461
       69.40     144.590     356.689
       69.50     144.512     356.916
       69.60     144.433     357.144
       69.70     144.355     357.371
       69.80     144.276     357.599
       69.90     144.198     357.826
       70.00     144.119     358.054
       70.10     144.041     358.281
       70.20     143.962     358.509
       70.30     143.884     358.736
       70.40     143.805     358.964
       70.50     143.727     359.191
       70.60     143.648     359.419
       70.70     143.570     359.647
       70.80     143.491     359.874
       70.90     143.413     360.102
       71.00     143.334     360.329
       71.10     143.256     360.557
       71.20     143.178     360.785
       71.30     143.099     361.012
       71.40     143.021     361.240
       71.50     142.942     361.468
       71.60     142.864     361.695
       71.70     142.785     361.923
       71.80     142.707     362.151
       71.90     142.629     362.378
       72.00     142.550     362.606
       72.10     142.472     362.834
       72.20     142.393     363.062
       72.30     142.315     363.289
       72.40     142.237     363.517
       72.50     142.158     363.745
       72.60     142.080     363.973
       72.70     142.002     364.200
       72.80     141.923     364.428
       72.90     141.845     364.656
       73.00     141.767     364.884
       73.10     141.688     365.112
       73.20     141.610     365.339
       73.30     141.532     365.567
       73.40     141.453     365.795
       73.50     141.375     366.023
       73.60     141.297     366.251
       73.70     141.218     366.479
       73.80     141.140     366.706
       73.90     141.062     366.934
       74.00     140.983     367.162
       74.10     140.905     367.390
       74.20     140.827     367.618
       74.30     140.749     367.846
       74.40     140.670     368.074
       74.50     140.592     368.302
       74.60     140.514     368.530
       74.70     140.436     368.758
       74.80     140.357     368.986
       74.90     140.279     369.214
       75.00     140.201     369.442
       75.10     140.123     369.670
       75.20     140.044     369.898
       75.30     139.966     370.126
       75.40     139.888     370.354
       75.50     139.810     370.582
       75.60     139.732     370.810
       75.70     139.654     371.038
       75.80     139.575     371.266
       75.90     139.497     371.494
       76.00     139.419     371.722
       76.10     139.341     371.950
       76.20     139.263     372.178
       76.30     139.185     372.406
       76.40     139.106     372.635
       76.50     139.028     372.863
       76.60     138.950     373.091
       76.70     138.872     373.319
       76.80     138.794     373.547
       76.90     138.716     373.775
       77.00     138.638     374.004
       77.10     138.560     374.232
       77.20     138.482     374.460
       77.30     138.403     374.688
       77.40     138.325     374.916
       77.50     138.247     375.145
       77.60     138.169     375.373
       77.70     138.091     375.601
       77.80     138.013     375.829
       77.90     137.935     376.058
       78.00     137.857     376.286
       78.10     137.779     376.514
       78.20     137.701     376.743
       78.30     137.623     376.971
       78.40     137.545     377.199
       78.50     137.467     377.428
       78.60     137.389     377.656
       78.70     137.311     377.884
       78.80     137.233     378.113
       78.90     137.155     378.341
       79.00     137.077     378.569
       79.10     136.999     378.798
       79.20     136.921     379.026
       79.30     136.843     379.255
       79.40     136.765     379.483
       79.50     136.687     379.711
       79.60     136.609     379.940
       79.70     136.531     380.168
       79.80     136.453     380.397
       79.90     136.376     380.625
       80.00     136.298     380.854
       80.10     136.220     381.082
       80.20     136.142     381.311
       80.30     136.064     381.539
       80.40     135.986     381.768
       80.50     135.908     381.996
       80.60     135.830     382.225
       80.70     135.752     382.453
       80.80     135.675     382.682
       80.90     135.597     382.911
       81.00     135.519     383.139
