
          t        hper         hap 
      107.30     115.298     443.688
      107.40     115.222     443.920
      107.50     115.146     444.152
      107.60     115.070     444.384
      107.70     114.995     444.616
      107.80     114.919     444.848
      107.90     114.843     445.081
      108.00     114.767     445.313
      108.10     114.691     445.545
      108.20     114.616     445.777
      108.30     114.540     446.009
      108.40     114.464     446.242
      108.50     114.389     446.474
      108.60     114.313     446.706
      108.70     114.237     446.938
      108.80     114.161     447.171
      108.90     114.086     447.403
      109.00     114.010     447.635
      109.10     113.934     447.868
      109.20     113.859     448.100
      109.30     113.783     448.333
      109.40     113.707     448.565
      109.50     113.632     448.797
      109.60     113.556     449.030
      109.70     113.481     449.262
      109.80     113.405     449.495
      109.90     113.329     449.727
      110.00     113.254     449.960
      110.10     113.178     450.192
      110.20     113.103     450.425
      110.30     113.027     450.657
      110.40     112.951     450.890
      110.50     112.876     451.122
      110.60     112.800     451.355
      110.70     112.725     451.588
      110.80     112.649     451.820
      110.90     112.574     452.053
      111.00     112.498     452.286
      111.10     112.423     452.518
      111.20     112.347     452.751
      111.30     112.272     452.984
      111.40     112.196     453.216
      111.50     112.121     453.449
      111.60     112.045     453.682
      111.70     111.970     453.915
      111.80     111.895     454.148
      111.90     111.819     454.380
      112.00     111.744     454.613
      112.10     111.668     454.846
      112.20     111.593     455.079
      112.30     111.518     455.312
      112.40     111.442     455.545
      112.50     111.367     455.778
      112.60     111.292     456.011
      112.70     111.216     456.244
      112.80     111.141     456.477
      112.90     111.066     456.710
      113.00     110.990     456.943
      113.10     110.915     457.176
      113.20     110.840     457.409
      113.30     110.764     457.642
      113.40     110.689     457.875
      113.50     110.614     458.108
      113.60     110.539     458.341
      113.70     110.463     458.574
      113.80     110.388     458.807
      113.90     110.313     459.040
      114.00     110.238     459.274
      114.10     110.162     459.507
      114.20     110.087     459.740
      114.30     110.012     459.973
      114.40     109.937     460.206
      114.50     109.862     460.440
      114.60     109.786     460.673
      114.70     109.711     460.906
      114.80     109.636     461.140
      114.90     109.561     461.373
      115.00     109.486     461.606
      115.10     109.411     461.840
      115.20     109.336     462.073
      115.30     109.261     462.306
      115.40     109.185     462.540
      115.50     109.110     462.773
      115.60     109.035     463.007
      115.70     108.960     463.240
      115.80     108.885     463.474
      115.90     108.810     463.707
      116.00     108.735     463.941
      116.10     108.660     464.174
      116.20     108.585     464.408
      116.30     108.510     464.641
      116.40     108.435     464.875
      116.50     108.360     465.109
      116.60     108.285     465.342
      116.70     108.210     465.576
      116.80     108.135     465.810
      116.90     108.060     466.043
      117.00     107.985     466.277
      117.10     107.910     466.511
      117.20     107.835     466.744
      117.30     107.761     466.978
      117.40     107.686     467.212
      117.50     107.611     467.446
      117.60     107.536     467.680
      117.70     107.461     467.913
      117.80     107.386     468.147
      117.90     107.311     468.381
      118.00     107.236     468.615
      118.10     107.162     468.849
      118.20     107.087     469.083
      118.30     107.012     469.317
      118.40     106.937     469.551
      118.50     106.862     469.785
      118.60     106.788     470.019
      118.70     106.713     470.253
      118.80     106.638     470.487
      118.90     106.563     470.721
      119.00     106.489     470.955
      119.10     106.414     471.189
      119.20     106.339     471.423
      119.30     106.264     471.657
      119.40     106.190     471.891
      119.50     106.115     472.125
      119.60     106.040     472.360
      119.70     105.966     472.594
      119.80     105.891     472.828
      119.90     105.816     473.062
      120.00     105.742     473.297
      120.10     105.667     473.531
      120.20     105.592     473.765
      120.30     105.518     473.999
      120.40     105.443     474.234
      120.50     105.369     474.468
      120.60     105.294     474.702
      120.70     105.220     474.937
      120.80     105.145     475.171
      120.90     105.070     475.406
      121.00     104.996     475.640
      121.10     104.921     475.875
      121.20     104.847     476.109
      121.30     104.772     476.344
      121.40     104.698     476.578
      121.50     104.623     476.813
      121.60     104.549     477.047
      121.70     104.474     477.282
      121.80     104.400     477.516
      121.90     104.325     477.751
      122.00     104.251     477.986
      122.10     104.177     478.220
      122.20     104.102     478.455
      122.30     104.028     478.690
      122.40     103.953     478.924
      122.50     103.879     479.159
      122.60     103.805     479.394
      122.70     103.730     479.629
      122.80     103.656     479.863
      122.90     103.581     480.098
      123.00     103.507     480.333
      123.10     103.433     480.568
      123.20     103.358     480.803
      123.30     103.284     481.038
      123.40     103.210     481.272
      123.50     103.136     481.507
      123.60     103.061     481.742
      123.70     102.987     481.977
      123.80     102.913     482.212
      123.90     102.839     482.447
      124.00     102.764     482.682
      124.10     102.690     482.917
      124.20     102.616     483.152
      124.30     102.542     483.387
      124.40     102.467     483.622
      124.50     102.393     483.858
      124.60     102.319     484.093
      124.70     102.245     484.328
      124.80     102.171     484.563
      124.90     102.097     484.798
      125.00     102.023     485.033
      125.10     101.948     485.269
      125.20     101.874     485.504
      125.30     101.800     485.739
      125.40     101.726     485.975
      125.50     101.652     486.210
      125.60     101.578     486.445
      125.70     101.504     486.681
      125.80     101.430     486.916
      125.90     101.356     487.151
      126.00     101.282     487.387
      126.10     101.208     487.622
      126.20     101.134     487.858
      126.30     101.060     488.093
      126.40     100.986     488.329
      126.50     100.912     488.564
      126.60     100.838     488.800
      126.70     100.764     489.035
      126.80     100.690     489.271
      126.90     100.616     489.506
      127.00     100.542     489.742
      127.10     100.468     489.978
      127.20     100.394     490.213
      127.30     100.320     490.449
      127.40     100.246     490.685
      127.50     100.173     490.920
      127.60     100.099     491.156
      127.70     100.025     491.392
      127.80      99.951     491.628
      127.90      99.877     491.863
      128.00      99.803     492.099
      128.10      99.730     492.335
      128.20      99.656     492.571
      128.30      99.582     492.807
      128.40      99.508     493.043
      128.50      99.434     493.279
      128.60      99.361     493.515
      128.70      99.287     493.751
      128.80      99.213     493.987
      128.90      99.140     494.223
      129.00      99.066     494.459
      129.10      98.992     494.695
      129.20      98.918     494.931
      129.30      98.845     495.167
      129.40      98.771     495.403
      129.50      98.697     495.639
      129.60      98.624     495.875
      129.70      98.550     496.111
      129.80      98.476     496.347
      129.90      98.403     496.584
      130.00      98.329     496.820
      130.10      98.256     497.056
      130.20      98.182     497.292
      130.30      98.109     497.529
      130.40      98.035     497.765
      130.50      97.961     498.001
      130.60      97.888     498.238
      130.70      97.814     498.474
      130.80      97.741     498.711
      130.90      97.667     498.947
      131.00      97.594     499.183
      131.10      97.520     499.420
      131.20      97.447     499.656
      131.30      97.373     499.893
      131.40      97.300     500.129
      131.50      97.227     500.366
      131.60      97.153     500.603
      131.70      97.080     500.839
      131.80      97.006     501.076
      131.90      96.933     501.312
      132.00      96.860     501.549
      132.10      96.786     501.786
      132.20      96.713     502.022
      132.30      96.639     502.259
      132.40      96.566     502.496
      132.50      96.493     502.733
      132.60      96.419     502.969
      132.70      96.346     503.206
      132.80      96.273     503.443
      132.90      96.200     503.680
      133.00      96.126     503.917
      133.10      96.053     504.154
      133.20      95.980     504.391
      133.30      95.907     504.628
      133.40      95.833     504.864
      133.50      95.760     505.101
      133.60      95.687     505.338
      133.70      95.614     505.575
      133.80      95.541     505.813
      133.90      95.467     506.050
      134.00      95.394     506.287
      134.10      95.321     506.524
      134.20      95.248     506.761
      134.30      95.175     506.998
      134.40      95.102     507.235
      134.50      95.029     507.472
      134.60      94.955     507.710
      134.70      94.882     507.947
      134.80      94.809     508.184
      134.90      94.736     508.422
      135.00      94.663     508.659
      135.10      94.590     508.896
      135.20      94.517     509.134
      135.30      94.444     509.371
      135.40      94.371     509.608
      135.50      94.298     509.846
      135.60      94.225     510.083
      135.70      94.152     510.321
      135.80      94.079     510.558
      135.90      94.006     510.796
      136.00      93.933     511.033
      136.10      93.860     511.271
      136.20      93.787     511.508
      136.30      93.715     511.746
      136.40      93.642     511.984
      136.50      93.569     512.221
      136.60      93.496     512.459
      136.70      93.423     512.697
      136.80      93.350     512.934
      136.90      93.277     513.172
      137.00      93.205     513.410
      137.10      93.132     513.648
      137.20      93.059     513.885
      137.30      92.986     514.123
      137.40      92.913     514.361
      137.50      92.841     514.599
      137.60      92.768     514.837
      137.70      92.695     515.075
      137.80      92.622     515.313
      137.90      92.550     515.551
      138.00      92.477     515.789
      138.10      92.404     516.027
      138.20      92.332     516.265
      138.30      92.259     516.503
      138.40      92.186     516.741
      138.50      92.114     516.979
      138.60      92.041     517.217
      138.70      91.968     517.455
      138.80      91.896     517.693
      138.90      91.823     517.932
      139.00      91.751     518.170
      139.10      91.678     518.408
      139.20      91.605     518.646
      139.30      91.533     518.885
      139.40      91.460     519.123
      139.50      91.388     519.361
      139.60      91.315     519.600
      139.70      91.243     519.838
      139.80      91.170     520.076
      139.90      91.098     520.315
      140.00      91.025     520.553
      140.10      90.953     520.792
      140.20      90.880     521.030
      140.30      90.808     521.269
      140.40      90.736     521.507
      140.50      90.663     521.746
      140.60      90.591     521.984
      140.70      90.518     522.223
      140.80      90.446     522.462
      140.90      90.374     522.700
      141.00      90.301     522.939
      141.10      90.229     523.178
      141.20      90.157     523.416
      141.30      90.084     523.655
      141.40      90.012     523.894
      141.50      89.940     524.133
      141.60      89.867     524.372
      141.70      89.795     524.610
      141.80      89.723     524.849
      141.90      89.651     525.088
      142.00      89.578     525.327
      142.10      89.506     525.566
      142.20      89.434     525.805
      142.30      89.362     526.044
      142.40      89.290     526.283
      142.50      89.217     526.522
      142.60      89.145     526.761
      142.70      89.073     527.000
      142.80      89.001     527.239
      142.90      88.929     527.479
      143.00      88.857     527.718
      143.10      88.785     527.957
      143.20      88.713     528.196
      143.30      88.640     528.435
      143.40      88.568     528.675
      143.50      88.496     528.914
      143.60      88.424     529.153
      143.70      88.352     529.393
      143.80      88.280     529.632
      143.90      88.208     529.871
      144.00      88.136     530.111
      144.10      88.064     530.350
      144.20      87.992     530.590
      144.30      87.920     530.829
      144.40      87.848     531.069
      144.50      87.776     531.308
      144.60      87.705     531.548
      144.70      87.633     531.787
      144.80      87.561     532.027
      144.90      87.489     532.266
      145.00      87.417     532.506
      145.10      87.345     532.746
      145.20      87.273     532.986
      145.30      87.201     533.225
      145.40      87.130     533.465
      145.50      87.058     533.705
      145.60      86.986     533.945
      145.70      86.914     534.184
      145.80      86.842     534.424
      145.90      86.771     534.664
      146.00      86.699     534.904
      146.10      86.627     535.144
      146.20      86.556     535.384
      146.30      86.484     535.624
      146.40      86.412     535.864
      146.50      86.340     536.104
      146.60      86.269     536.344
      146.70      86.197     536.584
      146.80      86.125     536.824
      146.90      86.054     537.064
      147.00      85.982     537.304
      147.10      85.911     537.545
      147.20      85.839     537.785
      147.30      85.767     538.025
      147.40      85.696     538.265
      147.50      85.624     538.506
      147.60      85.553     538.746
      147.70      85.481     538.986
      147.80      85.410     539.227
      147.90      85.338     539.467
      148.00      85.267     539.707
      148.10      85.195     539.948
      148.20      85.124     540.188
      148.30      85.052     540.429
      148.40      84.981     540.669
      148.50      84.909     540.910
      148.60      84.838     541.150
      148.70      84.766     541.391
      148.80      84.695     541.632
      148.90      84.624     541.872
      149.00      84.552     542.113
      149.10      84.481     542.354
      149.20      84.410     542.594
      149.30      84.338     542.835
      149.40      84.267     543.076
      149.50      84.196     543.317
      149.60      84.124     543.557
      149.70      84.053     543.798
      149.80      83.982     544.039
      149.90      83.910     544.280
      150.00      83.839     544.521
      150.10      83.768     544.762
      150.20      83.697     545.003
      150.30      83.626     545.244
      150.40      83.554     545.485
      150.50      83.483     545.726
      150.60      83.412     545.967
      150.70      83.341     546.208
      150.80      83.270     546.449
      150.90      83.199     546.690
      151.00      83.127     546.932
      151.10      83.056     547.173
      151.20      82.985     547.414
      151.30      82.914     547.655
      151.40      82.843     547.897
      151.50      82.772     548.138
      151.60      82.701     548.379
      151.70      82.630     548.621
      151.80      82.559     548.862
      151.90      82.488     549.103
      152.00      82.417     549.345
      152.10      82.346     549.586
      152.20      82.275     549.828
      152.30      82.204     550.069
      152.40      82.133     550.311
      152.50      82.062     550.552
      152.60      81.991     550.794
      152.70      81.920     551.036
      152.80      81.849     551.277
      152.90      81.779     551.519
      153.00      81.708     551.761
      153.10      81.637     552.002
      153.20      81.566     552.244
      153.30      81.495     552.486
      153.40      81.424     552.728
      153.50      81.354     552.970
      153.60      81.283     553.212
      153.70      81.212     553.453
      153.80      81.141     553.695
      153.90      81.071     553.937
      154.00      81.000     554.179
      154.10      80.929     554.421
      154.20      80.858     554.663
      154.30      80.788     554.905
      154.40      80.717     555.148
      154.50      80.646     555.390
      154.60      80.576     555.632
      154.70      80.505     555.874
      154.80      80.434     556.116
      154.90      80.364     556.358
      155.00      80.293     556.601
      155.10      80.223     556.843
      155.20      80.152     557.085
      155.30      80.081     557.328
      155.40      80.011     557.570
      155.50      79.940     557.812
      155.60      79.870     558.055
      155.70      79.799     558.297
      155.80      79.729     558.540
      155.90      79.658     558.782
      156.00      79.588     559.025
      156.10      79.517     559.267
      156.20      79.447     559.510
      156.30      79.377     559.752
      156.40      79.306     559.995
      156.50      79.236     560.238
      156.60      79.165     560.480
      156.70      79.095     560.723
      156.80      79.025     560.966
      156.90      78.954     561.209
      157.00      78.884     561.452
      157.10      78.814     561.694
      157.20      78.743     561.937
      157.30      78.673     562.180
      157.40      78.603     562.423
      157.50      78.532     562.666
      157.60      78.462     562.909
      157.70      78.392     563.152
      157.80      78.322     563.395
      157.90      78.252     563.638
      158.00      78.181     563.881
      158.10      78.111     564.124
      158.20      78.041     564.367
      158.30      77.971     564.611
      158.40      77.901     564.854
      158.50      77.831     565.097
      158.60      77.760     565.340
      158.70      77.690     565.584
      158.80      77.620     565.827
      158.90      77.550     566.070
      159.00      77.480     566.314
      159.10      77.410     566.557
      159.20      77.340     566.800
      159.30      77.270     567.044
      159.40      77.200     567.287
      159.50      77.130     567.531
      159.60      77.060     567.774
      159.70      76.990     568.018
      159.80      76.920     568.262
      159.90      76.850     568.505
      160.00      76.780     568.749
      160.10      76.710     568.993
      160.20      76.640     569.236
      160.30      76.570     569.480
      160.40      76.501     569.724
      160.50      76.431     569.968
      160.60      76.361     570.211
      160.70      76.291     570.455
      160.80      76.221     570.699
      160.90      76.151     570.943
      161.00      76.082     571.187
      161.10      76.012     571.431
      161.20      75.942     571.675
      161.30      75.872     571.919
      161.40      75.803     572.163
      161.50      75.733     572.407
      161.60      75.663     572.651
      161.70      75.593     572.895
      161.80      75.524     573.140
      161.90      75.454     573.384
      162.00      75.384     573.628
      162.10      75.315     573.872
      162.20      75.245     574.117
      162.30      75.175     574.361
      162.40      75.106     574.605
      162.50      75.036     574.850
      162.60      74.967     575.094
      162.70      74.897     575.339
      162.80      74.828     575.583
      162.90      74.758     575.828
      163.00      74.689     576.072
      163.10      74.619     576.317
      163.20      74.550     576.561
      163.30      74.480     576.806
      163.40      74.411     577.050
      163.50      74.341     577.295
      163.60      74.272     577.540
      163.70      74.202     577.785
      163.80      74.133     578.029
      163.90      74.064     578.274
      164.00      73.994     578.519
      164.10      73.925     578.764
      164.20      73.855     579.009
      164.30      73.786     579.254
      164.40      73.717     579.499
      164.50      73.647     579.744
      164.60      73.578     579.989
      164.70      73.509     580.234
      164.80      73.440     580.479
      164.90      73.370     580.724
      165.00      73.301     580.969
      165.10      73.232     581.214
      165.20      73.163     581.459
      165.30      73.093     581.705
      165.40      73.024     581.950
      165.50      72.955     582.195
      165.60      72.886     582.440
      165.70      72.817     582.686
      165.80      72.748     582.931
      165.90      72.679     583.176
      166.00      72.609     583.422
      166.10      72.540     583.667
      166.20      72.471     583.913
      166.30      72.402     584.158
      166.40      72.333     584.404
      166.50      72.264     584.650
      166.60      72.195     584.895
      166.70      72.126     585.141
      166.80      72.057     585.386
      166.90      71.988     585.632
      167.00      71.919     585.878
      167.10      71.850     586.124
      167.20      71.781     586.369
      167.30      71.713     586.615
      167.40      71.644     586.861
      167.50      71.575     587.107
      167.60      71.506     587.353
      167.70      71.437     587.599
      167.80      71.368     587.845
      167.90      71.299     588.091
      168.00      71.231     588.337
      168.10      71.162     588.583
      168.20      71.093     588.829
      168.30      71.024     589.075
      168.40      70.955     589.321
      168.50      70.887     589.568
      168.60      70.818     589.814
      168.70      70.749     590.060
      168.80      70.681     590.306
      168.90      70.612     590.553
      169.00      70.543     590.799
      169.10      70.475     591.046
      169.20      70.406     591.292
      169.30      70.337     591.538
      169.40      70.269     591.785
      169.50      70.200     592.031
      169.60      70.132     592.278
      169.70      70.063     592.525
      169.80      69.994     592.771
      169.90      69.926     593.018
      170.00      69.857     593.264
      170.10      69.789     593.511
      170.20      69.720     593.758
      170.30      69.652     594.005
      170.40      69.583     594.251
      170.50      69.515     594.498
      170.60      69.447     594.745
      170.70      69.378     594.992
      170.80      69.310     595.239
      170.90      69.241     595.486
      171.00      69.173     595.733
      171.10      69.105     595.980
      171.20      69.036     596.227
      171.30      68.968     596.474
      171.40      68.900     596.721
      171.50      68.831     596.968
      171.60      68.763     597.216
      171.70      68.695     597.463
      171.80      68.626     597.710
      171.90      68.558     597.957
      172.00      68.490     598.205
      172.10      68.422     598.452
      172.20      68.354     598.699
      172.30      68.285     598.947
      172.40      68.217     599.194
      172.50      68.149     599.442
      172.60      68.081     599.689
      172.70      68.013     599.937
      172.80      67.945     600.184
      172.90      67.877     600.432
      173.00      67.809     600.679
      173.10      67.740     600.927
      173.20      67.672     601.175
      173.30      67.604     601.423
      173.40      67.536     601.670
      173.50      67.468     601.918
      173.60      67.400     602.166
      173.70      67.332     602.414
      173.80      67.264     602.662
      173.90      67.196     602.910
      174.00      67.129     603.158
      174.10      67.061     603.406
      174.20      66.993     603.654
      174.30      66.925     603.902
      174.40      66.857     604.150
      174.50      66.789     604.398
      174.60      66.721     604.646
      174.70      66.653     604.894
      174.80      66.586     605.142
      174.90      66.518     605.391
      175.00      66.450     605.639
      175.10      66.382     605.887
      175.20      66.314     606.136
      175.30      66.247     606.384
      175.40      66.179     606.633
      175.50      66.111     606.881
      175.60      66.044     607.129
      175.70      65.976     607.378
      175.80      65.908     607.627
      175.90      65.841     607.875
      176.00      65.773     608.124
      176.10      65.705     608.372
      176.20      65.638     608.621
      176.30      65.570     608.870
      176.40      65.503     609.119
      176.50      65.435     609.367
      176.60      65.368     609.616
      176.70      65.300     609.865
      176.80      65.233     610.114
      176.90      65.165     610.363
      177.00      65.098     610.612
      177.10      65.030     610.861
      177.20      64.963     611.110
      177.30      64.895     611.359
      177.40      64.828     611.608
      177.50      64.760     611.857
      177.60      64.693     612.106
      177.70      64.626     612.356
      177.80      64.558     612.605
      177.90      64.491     612.854
      178.00      64.424     613.103
      178.10      64.356     613.353
      178.20      64.289     613.602
      178.30      64.222     613.851
      178.40      64.154     614.101
      178.50      64.087     614.350
      178.60      64.020     614.600
      178.70      63.953     614.849
      178.80      63.886     615.099
      178.90      63.818     615.349
      179.00      63.751     615.598
      179.10      63.684     615.848
      179.20      63.617     616.098
      179.30      63.550     616.347
      179.40      63.483     616.597
      179.50      63.416     616.847
      179.60      63.348     617.097
      179.70      63.281     617.347
      179.80      63.214     617.597
      179.90      63.147     617.846
      180.00      63.080     618.096
      180.10      63.013     618.346
      180.20      62.946     618.597
      180.30      62.879     618.847
      180.40      62.812     619.097
      180.50      62.745     619.347
      180.60      62.679     619.597
      180.70      62.612     619.847
      180.80      62.545     620.098
      180.90      62.478     620.348
      181.00      62.411     620.598
      181.10      62.344     620.849
      181.20      62.277     621.099
      181.30      62.210     621.349
      181.40      62.144     621.600
      181.50      62.077     621.850
      181.60      62.010     622.101
      181.70      61.943     622.352
      181.80      61.877     622.602
      181.90      61.810     622.853
      182.00      61.743     623.103
      182.10      61.677     623.354
      182.20      61.610     623.605
      182.30      61.543     623.856
      182.40      61.477     624.107
      182.50      61.410     624.357
      182.60      61.343     624.608
      182.70      61.277     624.859
      182.80      61.210     625.110
      182.90      61.144     625.361
      183.00      61.077     625.612
      183.10      61.010     625.863
      183.20      60.944     626.114
      183.30      60.877     626.366
      183.40      60.811     626.617
      183.50      60.744     626.868
      183.60      60.678     627.119
      183.70      60.612     627.371
      183.80      60.545     627.622
      183.90      60.479     627.873
      184.00      60.412     628.125
      184.10      60.346     628.376
      184.20      60.280     628.628
      184.30      60.213     628.879
      184.40      60.147     629.131
      184.50      60.081     629.382
      184.60      60.014     629.634
      184.70      59.948     629.885
      184.80      59.882     630.137
      184.90      59.816     630.389
      185.00      59.749     630.641
      185.10      59.683     630.892
      185.20      59.617     631.144
      185.30      59.551     631.396
      185.40      59.485     631.648
      185.50      59.418     631.900
      185.60      59.352     632.152
      185.70      59.286     632.404
      185.80      59.220     632.656
      185.90      59.154     632.908
      186.00      59.088     633.160
      186.10      59.022     633.412
      186.20      58.956     633.664
      186.30      58.890     633.917
      186.40      58.824     634.169
      186.50      58.758     634.421
      186.60      58.692     634.674
      186.70      58.626     634.926
      186.80      58.560     635.178
      186.90      58.494     635.431
      187.00      58.428     635.683
      187.10      58.362     635.936
      187.20      58.296     636.188
      187.30      58.230     636.441
      187.40      58.165     636.694
      187.50      58.099     636.946
      187.60      58.033     637.199
      187.70      57.967     637.452
      187.80      57.901     637.705
      187.90      57.836     637.957
      188.00      57.770     638.210
      188.10      57.704     638.463
      188.20      57.638     638.716
      188.30      57.573     638.969
      188.40      57.507     639.222
      188.50      57.441     639.475
      188.60      57.376     639.728
      188.70      57.310     639.981
      188.80      57.245     640.234
      188.90      57.179     640.488
      189.00      57.113     640.741
      189.10      57.048     640.994
      189.20      56.982     641.247
      189.30      56.917     641.501
      189.40      56.851     641.754
      189.50      56.786     642.008
      189.60      56.720     642.261
      189.70      56.655     642.515
      189.80      56.589     642.768
      189.90      56.524     643.022
      190.00      56.458     643.275
      190.10      56.393     643.529
      190.20      56.328     643.783
      190.30      56.262     644.036
      190.40      56.197     644.290
      190.50      56.132     644.544
      190.60      56.066     644.798
      190.70      56.001     645.052
      190.80      55.936     645.305
      190.90      55.870     645.559
      191.00      55.805     645.813
      191.10      55.740     646.067
      191.20      55.675     646.322
      191.30      55.609     646.576
      191.40      55.544     646.830
      191.50      55.479     647.084
      191.60      55.414     647.338
      191.70      55.349     647.592
      191.80      55.284     647.847
      191.90      55.219     648.101
      192.00      55.153     648.355
      192.10      55.088     648.610
      192.20      55.023     648.864
      192.30      54.958     649.119
      192.40      54.893     649.373
      192.50      54.828     649.628
      192.60      54.763     649.882
      192.70      54.698     650.137
      192.80      54.633     650.392
      192.90      54.568     650.647
      193.00      54.503     650.901
      193.10      54.439     651.156
      193.20      54.374     651.411
      193.30      54.309     651.666
      193.40      54.244     651.921
      193.50      54.179     652.176
      193.60      54.114     652.431
      193.70      54.049     652.686
      193.80      53.985     652.941
      193.90      53.920     653.196
      194.00      53.855     653.451
      194.10      53.790     653.706
      194.20      53.726     653.961
      194.30      53.661     654.217
      194.40      53.596     654.472
      194.50      53.532     654.727
      194.60      53.467     654.983
      194.70      53.402     655.238
      194.80      53.338     655.494
      194.90      53.273     655.749
      195.00      53.209     656.005
      195.10      53.144     656.260
      195.20      53.079     656.516
      195.30      53.015     656.772
      195.40      52.950     657.027
      195.50      52.886     657.283
      195.60      52.821     657.539
      195.70      52.757     657.795
      195.80      52.692     658.050
      195.90      52.628     658.306
      196.00      52.564     658.562
      196.10      52.499     658.818
      196.20      52.435     659.074
      196.30      52.370     659.330
      196.40      52.306     659.586
      196.50      52.242     659.843
      196.60      52.177     660.099
      196.70      52.113     660.355
      196.80      52.049     660.611
      196.90      51.985     660.868
      197.00      51.920     661.124
      197.10      51.856     661.380
      197.20      51.792     661.637
      197.30      51.728     661.893
      197.40      51.664     662.150
      197.50      51.599     662.406
      197.60      51.535     662.663
      197.70      51.471     662.919
      197.80      51.407     663.176
      197.90      51.343     663.433
      198.00      51.279     663.689
      198.10      51.215     663.946
      198.20      51.151     664.203
      198.30      51.087     664.460
      198.40      51.023     664.717
      198.50      50.959     664.974
      198.60      50.895     665.231
      198.70      50.831     665.488
      198.80      50.767     665.745
      198.90      50.703     666.002
      199.00      50.639     666.259
      199.10      50.575     666.516
      199.20      50.511     666.774
      199.30      50.447     667.031
      199.40      50.384     667.288
      199.50      50.320     667.546
      199.60      50.256     667.803
      199.70      50.192     668.060
      199.80      50.128     668.318
      199.90      50.065     668.575
      200.00      50.001     668.833
      200.00      50.001     668.833
